_CASE_KEY,Material Group,Material Group Text,Material,Material Text,Net Order Price,Currency,Vendor,has_deviation,classification,cycle_days,deviation_event_count
1000366,R1132,Sport,R100012,Skateboard 'Hells Bells',67.0,EUR,0000001011,False,Happy Path,24,0
1000367,R1132,Sport,R100012,Skateboard 'Hells Bells',67.0,EUR,0000001011,False,Happy Path,19,0
1000373,0201,Motorcycles,1400-310,CrossFun / 350 cm3,3732.42,EUR,R1000,True,Deviant,39,1
1000377,R1132,Sport,R100011,Basketball 'Professional',4.75,EUR,R1000,True,Deviant,190,5
1000380,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',1.35,EUR,R1000,False,Happy Path,34,0
1000385,002,Electronics,R-1140,"TFT Monitor, 17"",205,EUR""",5550.0,,,False,Happy Path,29,0
1000398,R1133,Household/cosmetics,R100013,Shampoo 'Splash',1.14,EUR,0000003021,False,Happy Path,22,0
100040,R1221,Returnables,R100022,Bottle 1.5,0.14,EUR,R1000,False,Happy Path,23,0
1000408,R1114,Preserves,R100027,Meyer's goulash soup,0.46,EUR,0000005550,False,Happy Path,27,0
1000410,R1114,Preserves,R100027,Meyer's goulash soup,0.46,EUR,0000005550,False,Happy Path,33,0
1000414,003,Bulbs,40-100C,Bulb 220/35V 40-watt clear,0.05,EUR,0000000300,True,Deviant,35,1
1000429,003,Bulbs,60-100C,Bulb 220/35V 60-watt frosted,0.05,EUR,0000001001,True,Deviant,38,1
100043,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.39,EUR,R1000,True,Deviant,43,1
1000435,008,Packaging,60-110R,220-235V 60-watt red e27 MIG box,0.01,EUR,0000001001,True,Deviant,42,1
1000436,008,Packaging,60-110Y,220-235V 60-watt yellow e27 MIG box,0.01,EUR,0000001001,False,Happy Path,32,0
1000438,003,Bulbs,60-200F,Bulb A 60/33x128 frosted EMG,0.1,EUR,0000001001,True,Deviant,37,1
1000446,008,Packaging,80-110C,220-235V 80-watt clear e27 MIG box,0.01,EUR,0000001001,True,Deviant,43,1
1000455,003,Bulbs,80-200R,Bulb A 80/33x128 red EMG,0.1,USD,R3002,True,Deviant,31,1
1000456,003,Bulbs,80-200Y,Bulb A 40/33x128 yellow EMG,0.01,USD,R3002,True,Deviant,40,1
1000464,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.85,EUR,0000001005,False,Happy Path,27,0
1000467,R1132,Sport,R100011,Basketball 'Professional',13.5,EUR,0000001005,False,Happy Path,29,0
1000468,R1132,Sport,R100012,Skateboard 'Hells Bells',67.0,EUR,0000001005,False,Happy Path,28,0
1000475,00210,Input Devices,DPC1011,Professional keyboard - PROFITEC Model,20.5,EUR,0000001005,False,Happy Path,37,0
100048,R1221,Returnables,R100022,Bottle 1.5,0.14,EUR,R1000,False,Happy Path,27,0
1000485,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,R1000,False,Happy Path,29,0
1000493,R1111,Dairy,R100001,Fauna margarine,0.41,USD,R3000,True,Deviant,36,1
1000498,R1221,Returnables,R100022,Bottle 1.5,0.14,USD,R3000,True,Deviant,11,1
1000499,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,USD,R3000,True,Deviant,10,1
1000502,R1112,Beverages,R100003,Lemonade 1.5 l bottle,0.72,USD,R3000,False,Happy Path,26,0
1000504,R1221,Returnables,R100023,Crate 12 bottles,1.5,EUR,0000001010,False,Happy Path,27,0
1000511,R1221,Returnables,R100023,Crate 12 bottles,1.5,EUR,0000001010,False,Happy Path,27,0
1000517,00207,Monitors,M-06,Flatscreen MS 1460 P,557.29,EUR,0000001015,False,Happy Path,36,0
1000518,00207,Monitors,M-07,Flatscreen LE 64P,567.5,EUR,0000001015,False,Happy Path,37,0
1000520,00207,Monitors,M-09,Flatscreen MS 1585,777.2,EUR,0000001015,False,Happy Path,31,0
1000521,00207,Monitors,M-10,Flatscreen MS 1775P,818.1,EUR,0000001015,False,Happy Path,29,0
1000530,00207,Monitors,M-19,Jotachi SN5000,557.29,EUR,R1000,False,Happy Path,29,0
1000537,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,0000003745,True,Deviant,37,1
1000539,R1122,Deli,R100002,Salami parma,1.25,EUR,0000003745,True,Deviant,13,1
1000546,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.36,EUR,0000005560,False,Happy Path,27,0
1000552,R1121,Perishables,R100008,Pepper,1.17,EUR,0000005560,False,Happy Path,28,0
1000565,001,Metal processing,100-433,Screw M 6X60,0.51,USD,R3000,True,Deviant,42,1
100057,R1111,Dairy,R100001,Fauna margarine,0.95,USD,R3000,True,Deviant,37,2
1000575,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.86,USD,0000005550,True,Deviant,25,1
1000578,R1114,Preserves,R100026,Meyer's cream of mushroom soup,1.08,USD,0000005550,True,Deviant,28,1
1000581,R1131,Tools,R100009,Screwdriver (cross-head),2.0,USD,0000005550,True,Deviant,14,1
1000582,R1131,Tools,R100009,Screwdriver (cross-head),2.0,USD,0000005550,True,Deviant,31,1
1000583,R1131,Tools,R100009,Screwdriver (cross-head),2.0,USD,0000005550,True,Deviant,3,1
1000588,R1131,Tools,R100010,"Hammer, 20 oz framing",11.08,USD,0000005550,False,Happy Path,25,0
1000589,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.64,USD,0000005550,False,Happy Path,26,0
1000594,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',3.04,USD,0000003745,False,Happy Path,23,0
1000601,R1132,Sport,R100011,Basketball 'Professional',13.5,USD,0000003745,False,Happy Path,18,0
1000603,R1132,Sport,R100011,Basketball 'Professional',13.5,EUR,0000001011,False,Happy Path,23,0
1000604,R1132,Sport,R100011,Basketball 'Professional',13.5,EUR,0000001011,True,Deviant,32,1
1000605,R1132,Sport,R100012,Skateboard 'Hells Bells',67.0,EUR,0000001011,True,Deviant,30,1
1000608,R1132,Sport,R100012,Skateboard 'Hells Bells',67.0,EUR,0000001011,False,Happy Path,21,0
1000609,009,Accessories,1400-100,Deluxe Headlight,22.5,EUR,0000001011,False,Happy Path,31,0
1000613,009,Accessories,1400-400,Motorcycle Helmet - Standard,23.01,EUR,R1000,False,Happy Path,35,0
1000623,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,USD,0000003745,True,Deviant,35,1
100063,R1221,Returnables,R100023,Crate 12 bottles,1.5,EUR,R1000,True,Deviant,3,1
1000641,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.86,USD,0000005550,False,Happy Path,32,0
1000651,R1121,Perishables,R100008,Pepper,2.56,USD,0000005560,False,Happy Path,26,0
1000652,R1114,Preserves,R100026,Meyer's cream of mushroom soup,1.08,USD,0000005560,False,Happy Path,27,0
1000654,R1114,Preserves,R100026,Meyer's cream of mushroom soup,1.08,USD,0000005550,False,Happy Path,27,0
1000659,R1114,Preserves,R100027,Meyer's goulash soup,1.07,USD,0000005550,True,Deviant,38,2
1000660,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.29,USD,0000005550,True,Deviant,33,1
1000676,R1132,Sport,R100012,Skateboard 'Hells Bells',17.71,EUR,0000005550,False,Happy Path,30,0
1000677,R1133,Household/cosmetics,R100013,Shampoo 'Splash',1.14,EUR,0000005550,False,Happy Path,28,0
1000678,R1133,Household/cosmetics,R100013,Shampoo 'Splash',1.14,EUR,0000005550,False,Happy Path,36,0
1000684,R1134,Electro,R100016,Tuner X300,114.14,EUR,0000005550,False,Happy Path,31,0
1000702,002,Electronics,THT-00-04,Laser Printer,179.0,USD,0000003021,True,Deviant,25,1
1000706,002,Electronics,THT-00-08,Laser Printer,179.0,USD,0000003021,True,Deviant,3,1
1000722,002,Electronics,THT-00-24,Laser Printer,179.0,USD,0000003021,False,Happy Path,29,0
1000729,002,Electronics,THT-00-31,Laser Printer,179.0,USD,0000003021,True,Deviant,31,1
1000730,002,Electronics,THT-00-32,Laser Printer,179.0,USD,0000003021,True,Deviant,34,1
1000732,002,Electronics,THT-00-34,Laser Printer,179.0,USD,0000003021,False,Happy Path,25,0
1000735,002,Electronics,THT-00-37,Laser Printer,179.0,USD,0000003021,False,Happy Path,21,0
1000736,002,Electronics,THT-00-38,Laser Printer,179.0,USD,0000003021,False,Happy Path,23,0
1000739,002,Electronics,THT-01-00,Inkjet Printer,100.0,USD,0000003021,True,Deviant,28,1
1000041,R1111,Dairy,R100000,Yoghurt all natural,0.27,EUR,0000005550,False,Happy Path,31,0
1000083,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.12,USD,0000005550,True,Deviant,25,1
1000084,R1121,Perishables,R100008,Pepper,2.56,USD,0000005550,True,Deviant,25,1
1000092,R1131,Tools,R100010,"Hammer, 20 oz framing",10.08,USD,0000005550,False,Happy Path,26,0
1000093,R1131,Tools,R100010,"Hammer, 20 oz framing",10.08,USD,0000005560,False,Happy Path,25,0
1000096,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.35,USD,0000005560,False,Happy Path,24,0
1000099,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.35,USD,0000005560,False,Happy Path,27,0
1000145,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",7.15,USD,R1000,False,Happy Path,27,0
1000174,R1131,Tools,R100010,"Hammer, 20 oz framing",4.62,EUR,0000001003,False,Happy Path,34,0
1000175,R1131,Tools,R100010,"Hammer, 20 oz framing",4.62,EUR,0000001003,False,Happy Path,32,0
1000176,R1132,Sport,R100011,Basketball 'Professional',4.55,EUR,0000001003,False,Happy Path,38,0
1000196,R1114,Preserves,R100027,Meyer's goulash soup,0.46,USD,R3000,True,Deviant,43,1
1000202,R1111,Dairy,R100001,Fauna margarine,0.95,USD,R3000,False,Happy Path,27,0
1000252,R1131,Tools,R100010,"Hammer, 20 oz framing",100.0,USD,R3002,True,Deviant,9,1
1000254,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',3.04,EUR,0000001015,True,Deviant,33,1
1000280,R1111,Dairy,R100000,Yoghurt all natural,0.27,EUR,R1000,False,Happy Path,34,0
1000288,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,EUR,R1000,True,Deviant,39,1
1000290,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.36,EUR,R1000,True,Deviant,47,2
1000293,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.29,EUR,0000003902,True,Deviant,11,1
1000335,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",7.57,USD,0000001003,True,Deviant,14,1
1000337,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.12,USD,0000001003,True,Deviant,2,1
1000341,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.33,USD,0000001003,False,Happy Path,30,0
1000347,R1131,Tools,R100010,"Hammer, 20 oz framing",10.99,USD,0000005560,False,Happy Path,23,0
1000352,R1133,Household/cosmetics,R100013,Shampoo 'Splash',2.62,USD,0000005560,False,Happy Path,25,0
1000358,R1134,Electro,R100016,Tuner X300,177.34,USD,0000003021,True,Deviant,31,1
1000362,R1132,Sport,R100011,Basketball 'Professional',13.5,USD,0000003021,False,Happy Path,28,0
1000381,R1134,Electro,R100016,Tuner X300,114.14,EUR,R1000,False,Happy Path,33,0
1000384,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,EUR,0000005550,False,Happy Path,32,0
1000391,R1132,Sport,R100011,Basketball 'Professional',4.55,EUR,0000005550,False,Happy Path,29,0
1000395,R1132,Sport,R100012,Skateboard 'Hells Bells',17.46,EUR,0000003021,False,Happy Path,31,0
1000407,R1114,Preserves,R100026,Meyer's cream of mushroom soup,0.46,EUR,0000005550,False,Happy Path,30,0
100042,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,EUR,R1000,False,Happy Path,30,0
1000532,R1111,Dairy,R100000,Yoghurt all natural,0.27,EUR,R1000,False,Happy Path,29,0
1000535,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,0000003745,True,Deviant,34,1
1000540,R1122,Deli,R100002,Salami parma,1.25,EUR,0000003745,True,Deviant,14,1
1000572,R1111,Dairy,R100001,Fauna margarine,0.95,USD,R3000,False,Happy Path,27,0
1000574,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",7.57,USD,0000005550,False,Happy Path,24,0
1000580,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.33,USD,0000005550,True,Deviant,13,1
1000598,R1134,Electro,R100016,Tuner X300,176.0,USD,0000003745,False,Happy Path,24,0
1000600,R1134,Electro,R100016,Tuner X300,176.0,USD,0000003745,False,Happy Path,30,0
1000602,R1132,Sport,R100011,Basketball 'Professional',13.5,USD,0000003745,False,Happy Path,20,0
1000619,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',1.35,EUR,R1000,True,Deviant,32,1
1000632,R1122,Deli,R100002,Salami parma,2.47,USD,0000003745,False,Happy Path,25,0
1000644,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.12,USD,0000005560,False,Happy Path,23,0
1000655,R1114,Preserves,R100026,Meyer's cream of mushroom soup,1.08,USD,0000005550,False,Happy Path,27,0
1000668,R1131,Tools,R100010,"Hammer, 20 oz framing",4.58,EUR,0000005550,False,Happy Path,28,0
1000673,R1132,Sport,R100011,Basketball 'Professional',4.58,EUR,0000005550,False,Happy Path,27,0
1000681,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',1.35,EUR,0000005550,False,Happy Path,34,0
1000682,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',1.35,EUR,0000005550,False,Happy Path,31,0
1000687,R1114,Preserves,R100026,Meyer's cream of mushroom soup,0.46,EUR,0000005550,True,Deviant,37,2
1000693,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,USD,0000003021,False,Happy Path,33,0
100000,R1221,Returnables,R100023,Crate 12 bottles,1.5,EUR,R1000,False,Happy Path,24,0
1000001,R1134,Electro,R100016,Tuner X300,157.0,USD,R3002,True,Deviant,27,1
1000003,R1132,Sport,R100012,Skateboard 'Hells Bells',67.0,EUR,0000001005,True,Deviant,38,2
1000008,00210,Input Devices,DPC1009,Standard Keyboard - EURO Model,16.6,EUR,0000001005,True,Deviant,34,1
1000018,00202,Motherboards,DPC1020,3Processor  500 MHz,23.5,EUR,0000001010,False,Happy Path,32,0
1000027,00207,Monitors,M-09,Flatscreen MS 1585,777.2,EUR,0000001020,False,Happy Path,31,0
1000036,00207,Monitors,M-18,Jotachi SN4500,920.29,EUR,0000005550,False,Happy Path,30,0
1000037,00207,Monitors,M-19,Jotachi SN5000,557.29,EUR,0000005550,False,Happy Path,25,0
100004,R1221,Returnables,R100022,Bottle 1.5,0.05,EUR,R1000,True,Deviant,32,1
1000050,R1113,Frozen foods,R100004,"'Sophia l.' pizza, 3-pack",3.7,EUR,0000003021,True,Deviant,4,1
1000052,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.36,EUR,0000003021,False,Happy Path,29,0
1000063,001,Metal processing,100-120,Flat gasket,23.5,EUR,0000001011,False,Happy Path,32,0
1000067,001,Metal processing,100-310,Slug for Shaft,24.5,EUR,0000001011,False,Happy Path,33,0
1000073,001,Metal processing,100-510,Ball bearing,10.19,USD,R3001,True,Deviant,39,1
100009,R1111,Dairy,R100001,Fauna margarine,0.41,EUR,R1000,False,Happy Path,26,0
1000091,R1131,Tools,R100009,Screwdriver (cross-head),1.98,USD,0000005550,True,Deviant,4,1
1000100,R1133,Household/cosmetics,R100014,Body lotion 'Alabaster',2.99,USD,0000005560,False,Happy Path,21,0
1000112,R1132,Sport,R100012,Skateboard 'Hells Bells',67.0,USD,0000005550,True,Deviant,39,1
1000113,R1132,Sport,R100012,Skateboard 'Hells Bells',67.0,EUR,R1001,True,Deviant,35,1
1000114,R1132,Sport,R100012,Skateboard 'Hells Bells',67.0,EUR,R1001,True,Deviant,38,1
1000117,009,Accessories,1400-200,Deluxe Taillight,11.8,EUR,R1001,False,Happy Path,34,0
100012,R1221,Returnables,R100022,Bottle 1.5,0.14,EUR,R1000,False,Happy Path,31,0
1000121,009,Accessories,1400-750,Deluxe Gas Tank Striping Decals,8.19,EUR,R1001,False,Happy Path,32,0
1000122,R1131,Tools,R100010,"Hammer, 20 oz framing",4.46,EUR,R1001,False,Happy Path,36,0
1000147,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.86,USD,R1000,False,Happy Path,22,0
1000148,R1114,Preserves,R100005,RAVIOLI 'LA MAMMA',0.86,USD,R1000,False,Happy Path,28,0
1000154,R1121,Perishables,R100007,"Net of oranges, 4 lb",2.12,USD,R1000,True,Deviant,36,1
1000155,R1121,Perishables,R100008,Pepper,2.56,USD,R1000,True,Deviant,38,1
1000167,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,EUR,0000003902,True,Deviant,34,2
1000170,R1112,Beverages,R100032,Fitdrink 2000 (Can),0.28,EUR,0000003902,True,Deviant,11,1
1000171,002,Electronics,R-1140,"TFT Monitor, 17"",205,EUR""",3902.0,,,True,Deviant,11,1
1000200,007,Services,,,8017.02,USD,R3000,False,Happy Path,34,0
1000204,003,Bulbs,40-100F,Light Bulb 220/235V 40 watt frosted,0.05,EUR,0000000300,True,Deviant,53,1
1000214,003,Bulbs,40-200Y,Bulb A 40/33x128 yellow EMG,0.01,EUR,0000001001,True,Deviant,4,1
1000215,003,Bulbs,40-210,Helix 40W 220-235V 1000h CC,0.02,EUR,0000001001,True,Deviant,37,1
1000216,003,Bulbs,80-210,Coil 220-235V 80-watt 1000h CC,0.02,EUR,0000001001,True,Deviant,42,1
1000218,003,Bulbs,60-100C,Bulb 220/35V 60-watt frosted,0.05,EUR,0000001001,True,Deviant,38,1
1000229,003,Bulbs,60-200Y,Bulb A 60/33x128 yellow EMG,0.1,EUR,0000001001,False,Happy Path,26,0
1000230,003,Bulbs,60-210,Coil 220-235V 60-watt 1000h CC,0.01,EUR,0000001001,True,Deviant,36,1
1000232,003,Bulbs,80-100F,Bulb 220/35V 80-watt frosted,0.13,EUR,0000001001,False,Happy Path,28,0
1000236,008,Packaging,80-110F,220-235V 80-watt frosted e27 MIG box,0.01,EUR,0000001075,True,Deviant,37,1
1000237,008,Packaging,80-110R,220-235V 80-watt yellow e27 MIG box,0.01,EUR,0000001075,True,Deviant,37,1
100024,R1111,Dairy,R100001,Fauna margarine,0.95,USD,R3000,False,Happy Path,27,0
1000245,003,Bulbs,80-200Y,Bulb A 40/33x128 yellow EMG,0.01,USD,R3002,False,Happy Path,29,0
100026,R1112,Beverages,R100003,Lemonade 1.5 l bottle,0.72,USD,R3000,False,Happy Path,28,0
1000260,00207,Monitors,M-03,Sunny Tetral3,634.0,EUR,0000001015,False,Happy Path,29,0
1000267,00207,Monitors,M-10,Flatscreen MS 1775P,818.1,EUR,0000001025,False,Happy Path,31,0
1000271,00207,Monitors,M-14,MAG PA/DX 175,562.39,EUR,0000001025,False,Happy Path,34,0
1000304,00208,Hard disks,DPC1004,Harddisk 42.94 GB / SCSI-2-Fast,637.1,EUR,0000001005,False,Happy Path,36,0
